A,output
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[b'N.W.T., MLA, steps, party, politics\n\n#Canada, Love_Canada, MLA, Candidates, Discussion, Liberal\xe2\x80\xa6, https://t.co/1Ao6MePpW5, ']",election
"[@oh_kir, :, "", The, primary, aspect, presidency, moral, leadership, ., "", -FDR,  , politicsoflove, marianne2020, BigTruth, election\n#WeThePeopl\xe2\x80\xa6, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
"[b'Funny, guy, problem, Spanish, title, ..., seen, daughter, ., \n\n#2020, GOP, Republican\xe2\x80\xa6, https://t.co/blbCnkaElF, ']",election
"[@anbusch, :, UK, :, No, 10, cancels, staff, leave, ,, hinting, likelihood, snap, election, https://t.co/oRr5vce1Gx, ']",election
"[@vincecable, :, On, @BBCNewsnight, dismiss, claim, post, No, Confidence, motion, PM, free, defer, election, Oct, 31, ., Cross, par\xe2\x80\xa6, ']",election
